Text,Start Time,Duration
this web development with python course,0.0,4.68
is broken up into two parts in the first,1.979,4.261
part you will learn how to build and,4.68,4.32
deploy a site using the flask python web,6.24,5.279
framework in part two you will connect,9.0,4.62
the flask application from the first,11.519,5.401
part to a cloud mySQL database and learn,13.62,4.86
how to deploy a production-ready,16.92,4.5
database driven web application Akash,18.48,5.4
created this course he is the CEO of,21.42,4.859
Jovian and he has created many popular,23.88,3.78
courses,26.279,4.441
hi I'm Akash co-founder and CEO of,27.66,5.579
jovial today I am really excited to,30.72,4.32
share with you this practical and,33.239,4.201
Hands-On introduction to web development,35.04,4.98
with python from scratch in this,37.44,4.56
tutorial you will watch me build and,40.02,4.8
deploy a jovian careers website to the,42.0,6.059
cloud using free online resources you,44.82,5.399
can follow along to build your own,48.059,5.34
personal website so let's get started we,50.219,5.401
want to explore web development and,53.399,4.081
deployment using Python and its,55.62,3.419
ecosystem of libraries,57.48,4.98
and we will do this by creating a jovian,59.039,6.601
careers website where we can list job,62.46,6.06
openings at Jovian and people can apply,65.64,5.4
to those jobs so after this lesson you,68.52,4.919
should be in a position to build and,71.04,4.86
deploy your own website maybe a personal,73.439,4.561
website a portfolio or some sample,75.9,4.56
application,78.0,5.4
there are no prerequisites here apart,80.46,5.4
from Python and git,83.4,4.38
so here are some of the topics that we,85.86,3.119
are going to look at we're going to look,87.78,3.54
at how to use GitHub for creating a,88.979,5.28
project and replit for working on a,91.32,5.759
project we will talk about the flask web,94.259,4.561
framework which is used to create web,97.079,4.261
applications in Python we will touch on,98.82,5.7
HTML and CSS we will talk about the,101.34,5.76
bootstrap framework which will help us,104.52,4.68
make our website look a little better,107.1,5.4
with less effort and then we will talk,109.2,5.82
about deployment on cloud platforms,112.5,4.38
specifically we are going to deploy to,115.02,4.26
render.com and finally we will talk,116.88,4.559
about how to set up your own custom,119.28,5.28
domain and configure it to point it to,121.439,4.68
the website that you have created and,124.56,3.36
deployed,126.119,4.56
the first step is to create a project on,127.92,4.98
GitHub now GitHub as you might already,130.679,5.64
know is a platform for sharing and,132.9,5.58
collaborating on software development,136.319,4.741
projects and it is powered by git which,138.48,4.56
is a version control system which lets,141.06,4.319
you record every version of your project,143.04,4.8
as you make changes,145.379,3.901
so the first thing you want to do is go,147.84,4.08
to github.com and then sign in or create,149.28,3.9
an account if you haven't done that,151.92,2.28
already,153.18,3.0
and once you're logged into github.com,154.2,5.34
this is the screen that you will see but,156.18,5.1
in this busy interface what you're,159.54,4.26
looking for is this new button this is,161.28,4.739
the new repository or new project button,163.8,3.96
if you don't see this new button there's,166.019,3.781
also a plus button here on the top right,167.76,4.92
which you can use and just select new,169.8,5.34
Repository,172.68,4.5
now once you try to create a new,175.14,4.08
repository you will have to select an,177.18,4.32
owner which will be your GitHub account,179.22,4.98
your GitHub username and then we need to,181.5,5.7
give this repository a name so this has,184.2,4.92
to be one or more lowercase words,187.2,4.38
separated by hyphens so I'm going to,189.12,4.199
call it Jovian,191.58,5.46
careers website,193.319,3.721
and we can give this a description if we,197.099,4.92
want so I'm just going to say a careers,199.2,6.0
website for Joven,202.019,5.341
and I'm going to make this public so,205.2,4.38
that anybody can access it,207.36,4.56
and I'm also going to add a readme file,209.58,4.019
because this will initialize the,211.92,3.239
repository so I don't have to push,213.599,3.06
anything to the repository to get,215.159,2.94
started,216.659,3.0
and then I'm also going to add a git,218.099,4.441
ignore file so as we do our development,219.659,5.64
a lot of build files and compiled files,222.54,4.74
and intermediate files are created by,225.299,4.8
python which we may not want to put into,227.28,4.739
git because they are not actual source,230.099,3.481
code they are simply used to run the,232.019,4.201
code so to ignore all of these,233.58,4.5
intermediate output files that are,236.22,4.56
created you can select a DOT get ignore,238.08,5.7
file that can get added to the root of,240.78,4.98
your repository now depending on the,243.78,3.48
kind of project you're working on the,245.76,3.78
kind of language you're using the kind,247.26,4.38
of files that you need to exclude May,249.54,4.8
differ so GitHub has already provided a,251.64,6.059
git ignore template for Python and we,254.34,5.1
just select that so that we don't,257.699,3.6
accidentally end up adding any,259.44,3.78
intermediate compiled files or output,261.299,5.041
files into our Repository,263.22,5.16
and finally if you're making your,266.34,3.96
repository public it's always a good,268.38,3.84
idea to include a license which lets,270.3,3.72
others know how they can use it whether,272.22,3.12
they can use it commercially whether,274.02,3.3
they can build on top of it or not and,275.34,3.6
I'm just going to select the MIT license,277.32,3.54
here which is the most liberal license,278.94,3.6
that's available,280.86,3.839
and that's it now we can create the,282.54,4.7
Repository,284.699,2.541
so now the repository is created and you,287.46,4.56
can see here it contains a readme file,290.04,4.439
which is rendered as markdown so it just,292.02,4.619
contains the name of the repository it,294.479,3.66
also contains a license file that you,296.639,3.06
can read and it contains a DOT get,298.139,4.321
ignore file if you click on it contains,299.699,4.681
information about the kind of files that,302.46,4.44
should be excluded,304.38,4.98
from git and these are all the,306.9,3.84
intermediate files that might get,309.36,4.02
created when you're running your python,310.74,4.14
code,313.38,4.2
so let's go back here and take this,314.88,5.46
the next step is to open up this project,317.58,5.399
on the platform replit.com,320.34,5.76
so here this project is on GitHub GitHub,322.979,5.16
can be used to store projects can be,326.1,4.26
used to share projects but cannot be,328.139,5.28
used to develop projects,330.36,5.46
now that's where you might want to use,333.419,5.101
this Cloud platform called replet and,335.82,5.159
replit.com is an online free,338.52,5.94
collaborative in browser IDE refers to,340.979,5.521
integrated development environment so,344.46,4.2
what that means is it can connect to,346.5,4.44
your GitHub account and it can let you,348.66,5.759
write code on the cloud and you don't,350.94,4.979
have to install anything on your,354.419,4.201
computer and your code will be synced to,355.919,4.441
the cloud and you can access it from,358.62,3.24
anywhere,360.36,4.86
so you can go to replied.com and you can,361.86,5.76
then sign up or log into replit so I'm,365.22,3.9
just going to log in because I already,367.62,4.16
have an account,369.12,2.66
and once you log in this will bring you,372.84,4.56
to your replay dashboard,375.12,4.5
now here you can create new projects but,377.4,4.98
ideally you want to use GitHub to keep,379.62,4.44
track of your projects so you can scroll,382.38,4.28
down here,384.06,2.6
and you can click on connect GitHub,392.16,5.759
so let's click connect GitHub and here,394.68,6.12
you might want to then select what,397.919,4.921
exactly you want to give replied access,400.8,4.44
to so in my case I'm going to click on,402.84,4.859
my name and I can choose to authorize,405.24,4.739
all the repositories I have so that any,407.699,4.201
repository I have on GitHub I can,409.979,4.44
develop with replit or I can choose to,411.9,4.56
only give access to select repositories,414.419,4.381
now in this case I'm just going to give,416.46,4.079
access to select repositories because I,418.8,3.839
have a whole bunch of repositories so,420.539,5.641
let's see Jovian couriers website okay,422.639,6.361
that looks great and these are the,426.18,4.44
permissions that replied is going to get,429.0,3.9
it is going to be able to read the code,430.62,3.84
from GitHub and it is going to be able,432.9,3.96
to write code back into GitHub,434.46,5.88
so let's install and authorize,436.86,6.119
and that should now bring us to the,440.34,4.56
replit dashboard and now you should see,442.979,4.44
a GitHub Repose section on your applet,444.9,5.16
dashboard and here you can see whichever,447.419,4.381
repositories you've selected replied,450.06,3.24
will have access here,451.8,3.42
so let me now click on this and let me,453.3,4.5
see what happens so now it's going to,455.22,6.0
import this repository so that means all,457.8,6.06
the code from GitHub and I'm going to,461.22,4.86
make this Rebel public so just like my,463.86,3.959
repository is public I also want to make,466.08,4.679
my replit project public and,467.819,6.72
let me then click import from GitHub,470.759,5.641
and that's going to load up all the,474.539,3.78
files that we had seen here git ignore,476.4,4.26
license and readme.md,478.319,4.081
and it's now going to show these files,480.66,4.439
on replit,482.4,5.34
now everything you build will ultimately,485.099,6.5
have to be run in a certain way,487.74,3.859
so you can configure a run command and,493.56,5.579
every time you click this run button the,496.56,4.56
Run command that you configure here is,499.139,4.201
going to be executed and the output is,501.12,4.079
going to be shown here in this console,503.34,5.34
tab I'm going to type python app dot pi,505.199,6.381
as the command that will be executed,508.68,5.88
when the Run button is clicked so I'm,511.58,5.199
going to click done and this is going to,514.56,5.7
create a file called Dot replit,516.779,6.241
within the repository which contains,520.26,5.28
this information and informs replit this,523.02,5.1
is a Python 3 project and the Run button,525.54,6.299
should run python app.pi now you may,528.12,5.64
notice that this dot replied file is not,531.839,4.56
visible here and that's because it is a,533.76,4.68
hidden file so you can just click on,536.399,3.901
these three dots and say show hidden,538.44,4.079
files and that's going to show the dot,540.3,4.68
replet file which is just hidden from,542.519,5.281
you by default so now we have this,544.98,4.62
project open on replit you can see here,547.8,4.32
we have a files sidebar the file sidebar,549.6,3.96
contains a list of files that are,552.12,3.24
present this is the same get ignore file,553.56,3.899
we had this is the same license file we,555.36,3.96
had and this is the same readme file we,557.459,2.641
had,559.32,3.12
and we can choose to then show a preview,560.1,4.2
which is shown here or we can hide the,562.44,3.12
preview,564.3,4.56
so that's the files tab and here is the,565.56,5.279
file editor this is where we can edit,568.86,4.32
the code and finally here we have two,570.839,5.521
things we have a console which shows the,573.18,5.279
output of the Run button,576.36,4.919
and we have a shell which is just like a,578.459,4.32
terminal or a command line interface,581.279,3.261
where you can run any command line,582.779,6.12
utilities like LS or PWD or CD or,584.54,6.82
whatever you want to do let me click the,588.899,4.921
Run button and see what happens,591.36,4.86
and the first thing it does is it tries,593.82,4.74
to run the command Python app.pi and it,596.22,4.26
says that python cannot open the file,598.56,4.02
app.pi because there is no such file or,600.48,4.2
directory we have not created the file,602.58,3.36
yet,604.68,3.719
so I'm just going to click plus here to,605.94,4.44
create a new file and I'm going to call,608.399,5.181
it app.pi,610.38,3.2
and let's just print,613.8,5.52
hello world here,616.8,5.28
and let's run it,619.32,4.92
and now you can see that the code was,622.08,4.68
executed Python app.pi and hello world,624.24,4.56
the output was displayed here,626.76,5.759
so now we have got our project imported,628.8,6.3
into replit and we are now already,632.519,4.38
developing it we can open up files we,635.1,3.359
can change the code and then we can run,636.899,3.661
the code and of course we don't have to,638.459,3.661
use the Run button we can come in here,640.56,4.86
and we can say python app dot pi and,642.12,6.839
that will work perfectly fine as well,645.42,6.18
so let's take that we've now opened up a,648.959,4.041
project on replit,651.6,4.32
now we are not here to print hello world,653.0,4.779
we are here to build a web application,655.92,4.44
and for building web applications in,657.779,6.24
Python we use a framework called flask,660.36,5.94
so if you just go online and search for,664.019,5.401
flask python,666.3,4.62
you will be taken to this website,669.42,4.26
flask.palletsproject.com,670.92,5.76
flask is one of the most popular web,673.68,5.339
Frameworks in Python,676.68,4.58
and flask is actually really easy to use,679.019,5.221
and let's check the installation and the,681.26,5.139
quick start sections to understand how,684.24,3.3
to use it,686.399,3.901
every Library you come across will have,687.54,4.44
some sort of an installation and quick,690.3,3.3
start or getting started section or,691.98,3.12
maybe a quick tutorial that you can,693.6,2.52
follow,695.1,4.44
so installation simply requires us to,696.12,5.399
run so here it says create an,699.54,4.62
environment Etc we're not too interested,701.519,4.201
in all that right now because we're,704.16,3.84
already using a cloud environment but,705.72,4.679
within the activated environment use the,708.0,4.2
following command to install flasks so,710.399,3.18
this is what we need to do we need to,712.2,3.96
run pip install flask so I'm going to go,713.579,4.741
here I'm going to go into the shell not,716.16,4.08
the console because the console is just,718.32,4.98
tied to the Run button but the shell and,720.24,6.12
I am going to run pip,723.3,4.74
install,726.36,4.32
flask,728.04,4.799
and that's going to now install flask,730.68,6.3
for us now we can go back into the flask,732.839,6.721
tutorial and now we can head into the,736.98,3.84
Quick Start,739.56,4.5
and here is what a simplest possible web,740.82,6.12
application in flask looks like so here,744.06,4.56
there are two things this is the module,746.94,3.899
so when we set pip install flask the,748.62,4.32
module with the name flask got installed,750.839,4.74
and modules always have lower case names,752.94,6.899
so from flask and then we say import and,755.579,7.021
from the flask module we want to import,759.839,5.881
the flask class even though these both,762.6,5.039
are called flask it's a bit confusingly,765.72,4.559
named but inside the module flask there,767.639,6.421
is a class called flask with a capital f,770.279,8.041
so I'm going to import flask and now,774.06,7.2
we need to create an app an app is,778.32,5.94
simply an object of the class flask okay,781.26,5.22
so python has something called object,784.26,5.1
oriented programming built inside it and,786.48,4.5
what we are doing here is we are,789.36,3.36
importing a class and then we are,790.98,4.08
creating an object of the class now if,792.72,3.66
that doesn't make sense don't worry,795.06,3.719
about it all we are doing here is,796.38,5.28
importing functionality from flask and,798.779,5.401
putting it into this variable called app,801.66,4.679
so we are creating a flask application,804.18,4.26
by typing flask,806.339,4.921
this way now the only thing that we need,808.44,6.06
to add here is a name every time you,811.26,4.56
create a flask application you have to,814.5,4.44
give it a name and typically inside any,815.82,5.579
python script you already have this,818.94,4.62
variable called underscore underscore,821.399,5.101
name underscore underscore Define if I,823.56,5.219
for example just type print underscore,826.5,3.779
underscore name underscore underscore,828.779,3.661
and run it,830.279,3.901
you're going to see here that it prints,832.44,3.42
underscore underscore main underscore,834.18,3.959
underscore the name variable refers to,835.86,5.039
how a particular script was invoked if,838.139,6.241
it was invoked using python app.pi the,840.899,4.981
name variable is going to have the value,844.38,3.12
mean and if it was invoked from,845.88,3.48
somewhere else the name variable may,847.5,4.139
have some other name okay so now we have,849.36,4.68
created a flask application,851.639,4.5
now once we have created a flask,854.04,6.299
application we then need to create a,856.139,5.041
route,860.339,3.481
now any website that you visit,861.18,4.98
you typically access it using some URL,863.82,6.78
for example you may go to jovian.ai,866.16,7.26
and this is the page that is on the URL,870.6,6.06
joven.ai now if I click on profile here,873.42,5.82
you can see that the URL has changed to,876.66,6.0
slash Akash NS and now there is a,879.24,6.0
different page rendered on this URL if I,882.66,4.5
click on learn and click on courses you,885.24,3.539
can see the URL has changed to slash,887.16,4.799
learn and now you see something,888.779,4.92
different on this page,891.959,5.761
so what you need to tell flask is when a,893.699,7.921
certain URL is requested what should be,897.72,4.979
returned,901.62,3.48
so here in the quick start we are first,902.699,5.521
registering a route a route is simply a,905.1,5.28
part of the URL after the domain name so,908.22,4.5
here jobin.ai is the domain name and,910.38,4.079
everything after it is called the path,912.72,5.28
or the route so let's do that let's go,914.459,5.82
and register a route here and the way we,918.0,4.139
do that is we say app,920.279,4.56
with an at character so this is called a,922.139,4.38
decorator in Python it's a slightly,924.839,3.541
Advanced concept that's often used in,926.519,3.901
libraries to provide some Advanced,928.38,5.519
functionality so we say app dot route,930.42,6.359
and then we have to provide which path,933.899,4.74
we want it to match so let's say we,936.779,3.92
deploy this website to,938.639,4.801
jovencareers.com then this is going to,940.699,3.7
match,943.44,3.48
slash which is the empty route which is,944.399,3.841
basically just the home page,946.92,3.18
jovencareers.com,948.24,3.839
and then,950.1,4.62
we Define a function so we can define a,952.079,5.841
function below this decorator,954.72,3.2
hello world,958.38,3.6
and in this function,959.699,4.921
let us simply for now return,961.98,5.34
hello world,964.62,5.04
so what we've done here is we've defined,967.32,4.319
a function which simply Returns the,969.66,4.619
string hello world but by adding this,971.639,4.861
decorator we've informed flask that when,974.279,5.521
the URL slash is accessed,976.5,4.44
then,979.8,3.719
show hello world,980.94,5.399
and let's run that,983.519,6.301
and replied does some setup to manage,986.339,5.461
dependencies on its end so let's just,989.82,3.259
wait for that,991.8,3.719
has its own way of managing python,993.079,4.06
packages so that's why sometimes it,995.519,3.24
takes a second or two but once we run it,997.139,3.781
we see nothing happens,998.759,5.221
so nothing happened because,1000.92,5.82
if you scroll down here you can see here,1003.98,4.919
that they expect you to run things in a,1006.74,4.08
slightly different way what you need to,1008.899,3.481
do is you need to export flask,1010.82,3.78
underscore app equals hello or whatever,1012.38,3.84
is the name of the file here it was,1014.6,4.02
called hello.pi and then you need to,1016.22,3.78
type flask run,1018.62,3.779
so what that means is we may have to go,1020.0,4.38
back into our DOT replete file and,1022.399,4.861
change the code here python app.pi,1024.38,4.98
because flask expects to be run in a,1027.26,3.72
different way,1029.36,4.38
so we need to probably change python,1030.98,4.979
app.pi to flask run and we also need to,1033.74,5.04
add somehow this flask cap command now,1035.959,4.74
that's one way to run it,1038.78,4.86
another way to run it is,1040.699,4.321
something that I'm going to show you,1043.64,3.72
right now I'm going to type if,1045.02,4.5
underscore underscore name underscore,1047.36,4.5
underscore equals underscore underscore,1049.52,4.32
mean underscore underscore,1051.86,4.319
so here what we are saying is if the,1053.84,4.68
variable underscore underscore name has,1056.179,5.281
the value underscore underscore mean and,1058.52,5.46
I'm just checking the equality here,1061.46,4.44
and this is going to be the case when we,1063.98,4.559
run python app dot Pi so,1065.9,4.32
let's say if I just print underscore,1068.539,3.841
name underscore underscore,1070.22,4.14
let me just print,1072.38,5.22
I'm inside the if now,1074.36,5.699
and when we run it it simply says that,1077.6,3.959
underscore unscore name has the value,1080.059,3.781
underscore mean and I'm inside the if,1081.559,5.941
now so here if the script is invoked,1083.84,7.079
using the python command then what we,1087.5,6.78
want to do is say app dot run so we have,1090.919,4.981
created the app but we've not yet run,1094.28,3.48
the app and we don't want to use the,1095.9,3.72
flask run command instead we want to do,1097.76,4.5
it using app.run,1099.62,5.1
and here when you type app.run you will,1102.26,3.9
see some documentation you need to,1104.72,4.02
provide a few options the first one is a,1106.16,6.32
host and it simply says here set this to,1108.74,7.08
0.0.0.0 to run on the local development,1112.48,7.62
server so we type app.run host equals,1115.82,7.62
0.0.0.0 and then we pass debug equals,1120.1,4.6
true,1123.44,3.9
and now we save the file and then we,1124.7,5.06
click run,1127.34,2.42
and now you can see that replit actually,1129.98,4.319
opened up a browser within our browser,1132.08,4.38
so this is a fake browser that replied,1134.299,4.981
has opened up for us,1136.46,5.16
so we have imported flask and then we,1139.28,4.68
have created a flask app a flask,1141.62,4.799
application and then we have registered,1143.96,4.68
a route to the application and finally,1146.419,5.421
we have checked if we are running this,1148.64,6.72
app.pi file as a script as python app.pi,1151.84,7.36
then we want to start the app by using,1155.36,6.84
app.run and we want to run it on 0.0.0.0,1159.2,4.92
this is always something that you have,1162.2,4.92
to put in so that it runs locally and we,1164.12,5.28
said debug equals true so that every,1167.12,4.02
time we make a change like if I change,1169.4,3.42
this to hello,1171.14,3.539
Jovian,1172.82,3.78
that's going to now change to hello,1174.679,3.12
Jovian,1176.6,3.66
and just like that we have created our,1177.799,5.041
first web application,1180.26,4.919
you'll see here that this is a browser,1182.84,4.38
that replied is showing us just for the,1185.179,3.36
preview sake but you can also open up,1187.22,4.079
this browser in a new tab and that shows,1188.539,4.321
you hello Jovian and you can see that,1191.299,3.74
this is deployed at this location,1192.86,4.819
joviancareers website dot akashness,1195.039,6.281
rebel.co so this is one of the benefits,1197.679,6.041
of working with replit that you can take,1201.32,3.96
the work that you're doing and you can,1203.72,3.6
share it with other people even while,1205.28,4.56
you are developing it replied is not,1207.32,4.44
great for production workloads so you,1209.84,3.24
should not be sending a lot of traffic,1211.76,3.659
to this site and in fact specifically,1213.08,3.959
here it tells you that this is a,1215.419,3.241
development server don't use it in,1217.039,4.26
production but it is great for testing,1218.66,4.56
it is great for quickly prototyping and,1221.299,4.201
showing something to your colleagues or,1223.22,5.24
your friends so now we have already,1225.5,7.74
built our first web page using flask,1228.46,6.7
and we can see it running and we can,1233.24,3.72
share it with others as well,1235.16,4.32
